Key,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
dir_is_not_existed,文件夹真实目录不存在，请检查后重试,The actual folder directory does not exist. Please check and try again,De werkelijke map locatie bestaat niet. Controleer dit en probeer het opnieuw.,Das echte Verzeichnis des Ordners existiert nicht. Bitte überprüfen Sie es und versuchen Sie es erneut.,O diretório real da pasta não existe. Verifique e tente novamente,"El índice de la carpeta actual no existe. Por favor, compruébelo y vuelva a intentarlo","La cartella effettiva non esiste,  verifica e riprova.",Le répertoire réel du dossier n'existe pas. Veuillez vérifier et réessayer.,フォルダの実際のディレクトリが存在しません。確認してから再試行してください。,폴더의 실제 경로가 존재하지 않습니다. 확인 후 다시 시도해 주세요.,文件夾真實目錄不存在，請檢查後重試
snap_total_num_exceed_limit,快照总数量超出系统限制,The total number of snapshots exceeds the system limit.,Het totale aantal snapshots overschrijdt de systeem limiet.,Die Gesamtanzahl der Snapshots überschreitet die Systemgrenze.,O número total de instantâneos excede o limite do sistema.,El número total de instantáneas supera el límite del sistema,Il numero totale di snapshot ha superato il limite del sistema.,Le nombre total de capture instantanée dépasse la limite du système.,スナップショットの総数がシステムの制限を超えています。,스냅샷 총 개수가 시스템 제한을 초과했습니다.,快照總數量超出系統限制
snap_num_per_folder_exceed_limit,当前文件夹快照数量超出系统限制,The number of snapshots in this folder exceeds the system limit.,Het aantal snapshots in deze map overschrijdt de systeem limiet.,Die Anzahl der Snapshots in diesem Ordner überschreitet die Systemgrenze.,O número de instantâneos nesta pasta excede o limite do sistema.,El número de instantáneas de esta carpeta supera el límite del sistema,Il numero di snapshot di questa cartella ha superato il limite del sistema.,Le nombre total de capture instantanée pour ce dossier  dépasse la limite du système.,現在のフォルダのスナップショット数がシステムの制限を超えています。,현재 폴더 스냅샷 개수가 시스템 제한을 초과했습니다.,當前文件夾快照數量超出系統限制
folder_is_migrating,此文件夹正在迁移，请稍后重试,This folder is being migrated. Please try again later.,Deze map wordt gemigreerd. Probeer het later opnieuw.,Dieser Ordner wird gerade migriert. Bitte versuchen Sie es später noch einmal.,Esta pasta está sendo migrada. Tente novamente mais tarde.,Esta carpeta se está migrando. Reinténtelo más tarde	Questa cartella è in fase di migrazione," riprova più tardi.",Ce dossier est en cours de migration. Veuillez réessayer plus tard.,このフォルダは現在移行中で、後で再試行してください。,해당 폴더가 이동 중입니다. 잠시 후 다시 시도해 주세요.,此文件夾正在遷移，請稍後重試
share_folder_path_is_existed,共享文件夹路径 %s 已存在,The shared folder path %s already exists．,Het gedeelde map pad %s bestaat al.,Der Pfad des freigegebenen Ordners %s ist bereits vorhanden.,O caminho da pasta compartilhada %s já existe.,La ruta de la carpeta compartida %s ya existe,Il percorso della cartella condivisa%sesiste già.,Le chemin du dossier partagé %s existe déjà,共有フォルダのパス %s はすでに存在します。,공유 폴더 경로 %s 가 이미 존재합니다.,共享文件夾路徑 %s 已存在
no_pre_folder,上一个文件夹不存在,The previous folder does not exist.,De vorige map bestaat niet.,Der vorherige Ordner existiert nicht.,A pasta anterior não existe.,La carpeta anterior no existe,La cartella precedente non esiste.,Le dossier précédent n'existe pas,前のフォルダは存在しません。,이전 폴더가 존재하지 않습니다.,上一個文件夾不存在
no_next_folder,下一个文件夹不存在,The next folder does not exist.,De volgende map bestaat niet.,Der nächste Ordner existiert nicht.,A pasta próxima não existe.,La carpeta siguiente no existe,La cartella successiva non esiste.,Le dossier suivant n'existe pas,次のフォルダは存在しません。,다음 폴더가 존재하지 않습니다.,下一個文件夾不存在
snap_is_not_existed,快照不存在，请检查后重试,The snapshot does not exist. Please check and try again.,De snapshot bestaat niet. Controleer en probeer het opnieuw.,Der Snapshot existiert nicht. Bitte überprüfen Sie dies und versuchen Sie es erneut.,O instantâneo não existe. Verifique e tente novamente.,"La instantánea no existe. Por favor, compruébelo e inténtelo de nuevo","Lo snapshot non esiste, verifica e riprova.",La capture instantanée n'existe pas. Veuillez vérifier et réessayer.,スナップショットは存在しません。確認してから再試行してください。,스냅샷이 존재하지 않습니다. 확인 후 다시 시도해 주세요.,快照不存在，請檢查後重試
existed_mnt_path,文件夹包含网络文件夹或虚拟设备，请卸载后再试,The folder contains a network folder or virtual device. Please unmount and try again.,De map bevat een netwerk map of virtueel apparaat. Koppel los en probeer het opnieuw.,Der Ordner enthält einen Netzwerkordner oder ein virtuelles Gerät. Bitte trennen Sie die Verbindung und versuchen Sie es erneut.,A pasta contém uma pasta de rede ou dispositivo virtual. Desligue e tente novamente,"La carpeta contiene una carpeta de red o un dispositivo virtual. Por favor, desmonte e inténtelo de nuevo.",La cartella contiene una cartella di rete o un dispositivo virtuale. Scollegalo e riprova.,Le dossier contient un dossier réseau ou un appareil virtuel. Veuillez le désinstaller avant de réessayer,フォルダにネットワークフォルダまたは仮想デバイスが含まれています。アンインストールしてから再試行してください。,폴더에 네트워크 폴더 또는 가상 장치가 포함되어 있습니다. 마운트 해제 후 다시 시도해 주세요.,文件夾包含網絡文件夾或虛擬設備，請卸載後再試
delete_snapshot_failed,删除快照失败,Failed to delete snapshot,Snapshot verwijderen mislukt,Snapshot löschen fehlgeschlagen,Falha ao excluir o snapshot,No se ha podido eliminar la instantánea,Eliminazione dell’istantanea non riuscita,Échec de la suppression de l'instantané,スナップショットの削除に失敗しました。,스냅샷 삭제 실패,刪除快照失敗
