Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
400001,请求参数校验失败,Failed to request parameter validation,Validierung der Anfrageparameter fehlgeschlagen,リクエストパラメータの検証に失敗しました,Échec de la validation des paramètres de la requête,Het valideren van de aanvraagparameters is mislukt,Falha ao solicitar de validação dos parâmetros,No se ha podido realizar la validación de los parámetros,Impossibile eseguire la convalida dei parametri,매개변수 유효성 검사 요청에 실패했습니다,請求引數校驗失敗
400002,排序目标位置不合法,Invalid sort target position,Ungültige Zielposition für die Sortierung,ソート対象の位置が無効です,La position de tri cible est invalide.,Ongeldige positie van het sorteerdoel,Posição de ordenação inválida,Posición de destino de ordenación inválida,Posizione di destinazione dell'ordinamento non valida,정렬 대상 위치가 올바르지 않습니다,排序目標位置無效
400004,上传文件类型不支持,Unsupported file type,Nicht unterstützter Dateityp,サポートされていないファイル形式,Type de fichier non pris en charge,Niet-ondersteund bestandstype,Tipo de ficheiro não suportado,Tipo de archivo no compatible,Tipo di file non supportato,지원되지 않는 파일 형식,上傳檔案類型不支援
400005,上传文件超过大小限制,File exceeds size limit,Die Größe der hochgeladenen Datei überschreitet das Limit,ファイルがサイズ制限を超えています,Le fichier dépasse la limite de taille.,Het bestand overschrijdt de maximale grootte,O arquivo excede o limite de tamanho,El archivo supera el límite de tamaño,Il file supera il limite di dimensione,업로드할 파일이 크기 제한을 초과했습니다,上傳檔案超過大小限制
400006,偏好键不合法,Invalid preferred key,Ungültiger bevorzugter Schlüssel,優先キーが無効です,Clé de préférence invalide,Ongeldige voorkeurssleutel,Chave de preferencial inválida,Clave preferida inválida,Chiave preferita non valida,환경설정 키가 올바르지 않습니다,偏好設定鍵無效
400010,分区颜色不合法,Invalid section color,Ungültige Abschnittsfarbe,セクションの色が無効です,Couleur de section invalide,Ongeldige sectiekleur,Cor da seção inválida,Color de sección inválido,Colore della sezione non valido,섹션 색상이 올바르지 않습니다,分割區顏色無效
400021,文件格式错误,File format error,Falsches Dateiformat,ファイル形式のエラー,Format de fichier incorrect,Fout in bestandsformaat,Erro de formato de arquivo,Error de formato de archivo,Errore nel formato del file,파일 형식이 잘못되었습니다,檔案格式錯誤
400023,文件版本过高，请升级笔记应用后重试,"The file version is too high. Please update the ""Notes"" app first",Die Dateiversion ist zu hoch. Bitte aktualisieren Sie zuerst die App „Notizen“.,ファイルのバージョンが高すぎます。まず「ノート」アプリをアップデートしてください。,"La version du fichier est trop récente. Veuillez mettre à jour l’application Notes, puis réessayer.","De versie van het bestand is te hoog. Werk eerst de app ""Notities"" bij.","A versão do arquivo é muito alta. Por favor, atualize primeiro o aplicativo ""Notas""","La versión del archivo es demasiado alta. Por favor, actualice primero la aplicación ""Notas""","La versione del file è troppo recente. Aggiorna prima l'app ""Note""",파일 버전이 너무 높습니다. 먼저 '노트' 앱을 업데이트해 주세요.,檔案版本過高，請升級「筆記」應用程式後再試
400025,导入文件超过大小限制,The imported file exceeds the size limit,Die Größe der importierten Datei überschreitet das Limit,インポートしたファイルがサイズ制限を超えています,Le fichier importé dépasse la limite de taille.,Geïmporteerd bestand overschrijdt de maximale grootte,O arquivo importado excede o limite de tamanho,El archivo importado supera el límite de tamaño,Il file importato supera il limite di dimensione,가져올 파일이 크기 제한을 초과했습니다,匯入檔案超過大小限制
401001,缺少用户身份,Missing user identity,Fehlende Benutzerrolle,ユーザの認証情報が見つかりません,Identité de l’utilisateur manquante,Gebruikersidentiteit ontbreekt,Falta de identidade do usuário,Falta la identidad del usuario,Identità utente mancante,사용자 신원 정보가 없습니다,缺少使用者身分
