Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
"[""err_code_0""]",成功,Successful,Erfolgreich,成功しました。,Succès,Con éxito,Bem-sucedido,Geslaagd,Successo,성공,成功
"[""err_code_9406""]",当前App版本不支持GoogleDrive，请升级,"Current app version does not support GoogleDrive, please update.",Die aktuelle App-Version unterstützt Google Drive nicht. Bitte aktualisieren Sie sie.,現在のアプリバージョンはGoogleDriveをサポートしていません。アップグレードしてください。,"La version actuelle de l'application ne prend pas en charge GoogleDrive, veuillez mettre à jour",La versión actual de la aplicación no es compatible con GoogleDrive.,"A versão atual do app não suporta GoogleDrive, por favor, atualize.","Huidige app versie ondersteunt GoogleDrive niet, werk bij.","La versione corrente dell'app non supporta GoogleDrive, si prega di aggiornare",현재 앱 버전은 GoogleDrive를 지원하지 않습니다. 업그레이드 해주세요.,當前App版本不支持GoogleDrive，請升級
"[""err_code_10000""]",参数错误,Parameter error,Parameter-Fehler,パラメーターエラー,Erreur de paramètre,Error de parámetro,Erro de parametro,Parameter fout,Errore nei parametri,매개변수 오류,參數錯誤
"[""err_code_10002""]",解析参数错误,Parameter parsing error,Fehler beim Parsen von Parametern,パラメーター解析エラー,Erreur d'analyse des paramètres,Error de análisis de parámetros,Erro de análise de parametro,Parameter parsing fout,Errore nell'analisi dei parametri,매개변수 해석 오류,解析參數錯誤
"[""err_code_10003""]",已被其他用户登录,Logged in by another user,Von einem anderen Benutzer eingeloggt,他のユーザーがすでにログインしています。,Déjà connecté par un autre utilisateur,Ha iniciado sesión otro usuario,Iniciado por outro utilizador,Ingelogd door een andere gebruiker,L'utente è stato acceduto da un altro utente,다른 사용자가 이미 로그인 중입니다.,已被其他使用者登入
"[""err_code_10005""]",网盘账号已经存在,Netdisk account already exists,Netdisk-Konto existiert bereits,ネットディスクアカウントはすでに存在しています。,Le compte du netdisk existe déjà,La cuenta Netdisk ya existe,Conta de Netdisk já existe,Netdisk account bestaat al,L'account del disco online esiste già,클라우드 드라이브 계정이 이미 존재합니다.,網盤帳號已經存在
"[""err_code_10006""]",任务名已存在,Task name already exists,Aufgabenname existiert bereits,タスク名が既に存在します。,Le nom de la tache existe déjà,El nombre de la tarea ya existe,Nome da tarefa já existe,Taak naam bestaat al,Il nome del compito esiste già,작업 이름이 이미 존재합니다.,任務名已存在
"[""err_code_10008""]","此网盘路径已用作另一个任务的同步文件夹, 请重新选择。",This netdisk path has been used as sync folder for another task. Please select again.,Dieser Cloud-Speicherpfad wurde bereits als Synchronisationsordner für eine andere Aufgabe verwendet. Bitte wählen Sie erneut.,このネットディスクパスは他のタスクで同期フォルダとして使用されています。再度選択してください。,"Ce chemin du disque en nuage est déjà utilisé comme dossier de synchronisation pour une autre tache, veuillez en sélectionner un autre",Esta ruta de netdisk se ha utilizado como carpeta de sincronización para otra tarea. Vuelva a seleccionarla.,"Este caminho de Cloud Drive foi usado como pasta de sincronização para outra tarefa. Por favor, selecione novamente.",Dit netdisk pad is gebruikt als synchronisatie map voor een andere taak. Selecteer opnieuw.,"Questo percorso del disco online è già utilizzato come cartella di sincronizzazione per un altro compito, si prega di scegliere di nuovo.",이 클라우드 드라이브 경로는 다른 작업의 동기화 폴더로 이미 사용 중입니다. 다시 선택해 주세요.,"此網盤路徑已用作另一個任務的同步資料夾, 請重新選擇。"
"[""err_code_10009""]",时间参数错误,Time parameter error,Tijd parameter fout,Zeitparameter-Fehler,Erro de parâmetro de tempo,Error del parámetro de tiempo,Errore di parametro temporale,Erreur de paramètre temporel,タイムパラメータエラー,시간 매개변수 오류,時間參數錯誤
"[""err_code_10010""]",本地路径不存在,Local path not found,Lokaler Pfad nicht gefunden,ローカルパスが存在しません。,Le chemin local est introuvable,Ruta local no encontrada,Caminho local não encontrado,Lokaal pad niet gevonden,Il percorso locale non esiste,로컬 경로가 존재하지 않습니다.,本地路徑不存在
"[""err_code_10012""]",任务操作失败,Task operation failed,Vorgang der Aufgabe ist fehlgeschlagen,タスクの操作に失敗しました。,échec de l'opération de la tache,Error en la operación de la tarea,Falha na operação da tarefa,Taak bewerking mislukt,Operazione del compito non riuscita,작업 수행 실패,任務操作失敗
"[""err_code_10014"", ""cloud_quota_not_enough"", ""File size exceeded drive capacity"", ""path/insufficient_space""]",网盘空间不足,Insufficient netdisk storage space,Nicht ausreichender Speicherplatz auf der Netdisk,ネットディスクの容量が不足しています。,Espace de stockage insuffisant sur le netdisk,Espacio de almacenamiento en netdisk insuficiente,Espaço insuficiente no Netdisk,Onvoldoende netdisk opslag ruimte,Spazio insufficiente sul disco online,클라우드 드라이브 공간 부족,網盤空間不足
