Key,zh-CN,es-ES,fr-FR,it-IT,ko-KR,nl-NL,pt-PT,zh-TW,en-US,ja-JP,de-DE
clarity_1080p,1080p,1080p,1080p,1080p,1080p,1080p,1080p,1080p,1080p,1080p,1080p
clarity_2k,2K,2K,2K,2K,2K,2K,2K,2K,2K,2K,2K
clarity_480p,480p,480p,480p,480p,480p,480p,480p,480p,480p,480p,480p
clarity_4k,4K,4K,4K,4K,4K,4K,4K,4K,4K,4K,4K
clarity_720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p,720p
clarity_8k,8K,8K,8K,8K,8K,8K,8K,8K,8K,8K,8K
clarity_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
clarity_other,其他,Otros,Autres,Altri,기타,Andere,Outros,其他,Others,その他,Sonstiges
country_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
country_america,美国,EE.UU.,États-Unis,Stati Uniti,미국,Amerika,América,美國,America,アメリカ,USA
country_china,中国大陆,China Continental,Chine continentale,Cina continentale,중국 본토,China,China Continental,中國,China,中国大陸,Chinesisches Festland
country_france,法国,Francia,France,Francia,프랑스,Frankrijk,França,法國,France,フランス,Frankreich
country_germany,德国,Alemania,Allemagne,Germania,독일,Duitsland,Alemanha,德國,Germany,ドイツ,Deutschland
country_hong_kong,中国香港,"Hong Kong, China","Hong Kong, Chine","Hong Kong, Cina",중국 홍콩,"Hongkong, China","Hong Kong, China",中國香港,"Hong Kong, China",中国ホンコン,"Hongkong, China"
country_india,印度,India,Inde,India,인도,India,Índia,印度,India,インド,Indien
country_italy,意大利,Italia,Italie,Italia,이탈리아,Italie,Itália,意大利,Italy,イタリア,Italien
country_japan,日本,Japón,Japon,Giappone,일본,Japan,Japão,日本,Japan,日本,Japan
country_korea,韩国,Corea del Sur,Corée du Sud,Corea del Sud,대한민국,Korea,Coreia,韓國,Korea,韓国,Südkorea
country_other,其他,Otros,Autres,Altri,기타,Andere,Outros,其他,Other,その他,Sonstiges
country_portugal,葡萄牙,Portugal,Portugal,Portogallo,포르투갈,Portugal,Portugal,葡萄牙,Portugal,ポルトガル,Portugal
country_spain,西班牙,España,Espagne,Spagna,스페인,Spanje,Espanha,西班牙,Spain,スペイン,Spanien
country_tai_wan,中国台湾,"Taiwán, China","Taïwan, Chine","Taiwan, Cina",중국 대만,"Taiwan, China","Taiwan, China",中國臺灣,"Taiwan, China",中国台湾,"Taiwan, China"
country_thailand,泰国,Tailandia,Thaïlande,Thailandia,태국,Thailand,Tailândia,泰國,Thailand,タイ,Thailand
country_united_kingdom,英国,Reino Unido,Royaume-Uni,Regno Unito,영국,Verenigd konkrijk,Reino Unido,英國,United Kingdom,イギリス,UK
description_name,简体中文,Español,Français,Italiano,한국어,Nederlands,Português,繁體中文,English,日本語,Deutsch
grading_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
grading_g,G,G,G,G,G,G,G,G,G,G,G
grading_nr,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
grading_other,其他,Otros,Autres,Altri,기타,Andere,Outros,其他,Other,その他,Sonstiges
grading_pg,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG,PG
grading_pg_13,PG-13,PG-13,PG-13,PG-13,PG-13,PG-13,PG-13,PG-13,PG-13,PG-13,PG-13
grading_r,R,R,R,R,R,R,R,R,R,R,R
grading_tv_14,TV-14,TV-14,TV-14,TV-14,TV-14,TV-14,TV-14,TV-14,TV-14,TV-14,TV-14
grading_tv_ma,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA,TV-MA
grading_tv_pg,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG,TV-PG
grading_tv_y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y,TV-Y
grading_tv_y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7,TV-Y7
identify_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
identify_douban,智能识别,Reconocimiento AI,IA reconnue,Riconoscimento AI,AI 인식,AI herkend,Reconhecimento AI,智慧辨識,AI recognized,AI 認識,KI erkannt
identify_nfo,NFO识别,Reconocimiento NFO,NFO reconnu,Riconoscimento NFO,NFO 인식,NFO herkend,Reconhecimento NFO,NFO識別,NFO recognized,NFO認識,NFO erkannt
identify_tmdb,TMDB识别,Reconocimiento TMDB,TMDB reconnu,Riconoscimento TMDB,TMDB 인식,TMDB herkend,Reconhecimento TMDB,TMDB識別,TMDB recognized,TMDB認識,TMDB erkannt
identify_unknown,未识别,No reconocido,Non reconnu,Non riconosciuto,미인식,Niet herkend,Não reconhecido,未識別,Unrecognized,未認識,Nicht erkannt
style_action,动作,Acción,Action,Azione,액션,Actie,Ação,動作,Action,動作,Action
style_adventure,冒险,Aventura,Aventure,Avventura,모험,Avontuur,Aventura,冒險,Adventure,冒険,Abenteuer
style_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
style_animation,动画,Animación,Animation,Animazione,애니메이션,Animatie,Animação,動畫,Animation,アニメーション,Animation
style_comedy,喜剧,Comedia,Comédie,Commedia,코미디,Komedie,Comédia,喜劇,Comedy,コメディ,Komödie
style_crime,犯罪,Crimen,Crime,Crimine,범죄,Criminaliteit,Crime,犯罪,Crime,犯罪,Krimi
style_documentary,纪录,Documental,Documentaire,Documentario,다큐멘터리,Documentair,Documentário,紀錄,Documentary,ドキュメンタリー,Doku
style_drama,剧情,Drama,Drame,Drammatico,드라마,Drama,Drama,劇情,Drama,ドラマ,Drama
style_family,家庭,Gamilia,Famille,Famiglia,가족,Familie,Família,家庭,Family,家族,Familie
style_fantasy,奇幻,Fantasía,Fantasy,Fantasia,판타지,Fantasie,Fantasia,奇幻,Fantasy,ファンタジー,Fantasy
style_history,历史,Historia,Histoire,Storia,역사,Geschiedenis,História,歷史,History,歴史,Historie
style_horror,恐怖,Terror,Horreur,Terrore,공포,Horror,Terror,恐怖,Horror,ホラー,Horror
style_music,音乐,Música,Musique,Musica,음악,Muziek,Música,音樂,Music,音楽,Musik
style_mystery,悬疑,Misterio,Mystère,Mistero,미스터리,Mysterie,Mistério,懸疑,Mystery,ミステリー,Mystery
style_other,其他,Otros,Autres,Altri,기타,Andere,Outros,其他,Other,その他,Sonstiges
style_romance,爱情,Romance,Romance,Romance,로맨스,Romantiek,Romance,愛情,Romance,恋愛,Liebe
style_science_fiction,科幻,Ciencia ficción,Science-fiction,Fantascienza,SF,Science Fictie,Ficção Científica,科幻,Science fiction,SF,Sci-Fi
style_thriller,惊悚,Thriller,Thriller,Thriller,스릴러,Thriller,Thriller,驚悚,Thriller,スリラー,Thriller
style_tv_movie,电视电影,Película / Series,Films et séries TV,Film per la TV,TV 영화,Film / Tv-serie,Filme / Série de TV,電視電影,Film / TV series,テレビ映画,Film/Serien
style_war,战争,Guerra,Guerre,Guerra,전쟁,Oorlog,Guerra,戰爭,War,戦争,Krieg
style_western,西部,Oeste,Western,Western,서부,Westeren,Faroeste,西部,Western,西部,Western
type_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
type_collection,合集,Colección,Collection,Collezione,컬렉션,Collectie,Coleção,合集,Collection,コレクション,Sammlung
type_movie,电影,Película,Film,Film,영화,Film,Filme,電影,Film,映画,Film
type_series,剧集,Serie,Série,Serie,시리즈,Series,Série,電視劇,Series,シリーズ,Serien
watch_status_all,全部,Todo,Tout,Tutto,전체,Alle,Tudo,全部,All,すべて,Alle
watch_status_not_finished,未看完,No terminado,Pas terminé,Non finito,미완,Niet Klaar,Não terminado,未看完,Not Finished,未視聴完了,Nicht abgeschlossen
