Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
9999,操作失败,Failed to operate,Vorgang fehlgeschlagen,操作に失敗しました,Échec de l'opération,Operación fallida,A operação falhou,Operatie mislukt,Operazione fallita,작업 실패,操作失敗
10001,您没有下载权限,No permission to download,Keine Berechtigung zum Herunterladen,ダウンロードの権限がありません,Vous n'avez pas l'autorisation de télécharger,Sin permiso para descargar,Não tem permissão para baixar,Geen toestemming om te downloaden,Non hai il permesso di scaricare,다운로드 권한이 없습니다,您沒有下載權限
10002,您没有上传权限,No permission to upload,Keine Berechtigung zum Hochladen,アップロード権限がありません,Vous n'avez pas l'autorisation de téléverser,Sin permiso para subir,Não tem permissão para carregar,Geen toestemming om te uploaden,Non hai il permesso di caricare,업로드 권한이 없습니다,您沒有上傳權限
10004,未启用个人文件夹,"""Personal Folder"" not enabled",„Persönlicher Ordner“ ist nicht aktiviert,個人フォルダは有効化されていません,"""Dossier personnel"" non activé","""Carpeta personal"" no habilitada","""Pasta Pessoal"" não ativada",“Persoonlijke map” niet ingeschakeld,“Cartella personale” non abilitata,개인 폴더 활성화되지 않습니다,未啟用個人資料夾
10005,照片/视频入库失败,Failed to add photos or videos,Hinzufügen von Bildern/Videos fehlgeschlagen,写真またはビデオの追加に失敗しました,Échec de l'ajout des photos ou vidéos,Error al añadir fotos o vídeos,Falha ao adicionar fotos ou vídeos,Het is niet gelukt om foto's of video's toe te voegen,Impossibile aggiungere foto o video,사진/동영상 추가 실패,照片/影片入庫失敗
10006,该分享为内部分享,This is an internal sharing,Die Freigabe ist eine interne Freigabe,内部共有です,Il s'agit d'un partage interne.,Se trata de una compartición interna,Esta ação é uma partilha interna,Dit is een interne sharing,Questa condivisione è una condivisione interna,이 공유는 내부 공유입니다,該分享為內部分享
10007,该分享已经过期,The sharing link has expired,Diese Freigabe ist abgelaufen,共有の有効期限が切れています,Le lien de partage a expiré.,El enlace de compartición ha caducado,Esta partilha expirou,De link om te delen is verlopen,Questa condivisione è scaduta,이 공유는 이미 만료되었습니다,該分享已經過期
10010,上传邀请已过期,The link for upload has expired,Der Upload-Link ist abgelaufen,アップロード招待が期限切れになりました。,Le lien de téléversement a expiré.,El enlace de subida ha expirado,A ligação para carregamento expirou,De link voor het uploaden is verlopen,Il link per il caricamento è scaduto,업로드 링크가 만료되었습니다,上傳邀請已過期
10011,上传邀请不存在,The link for upload does not exist,Der Upload-Link existiert nicht,アップロード招待はありません,Le lien de téléversement n'existe pas.,El enlace de subida no existe,A ligação para carregamento não existe,De link voor het uploaden bestaat niet,Il link per il caricamento non esiste,업로드 링크가 존재하지 않습니다,上傳邀請不存在
10012,单个文件大小超过限制,Single file size exceeds the limit,Die maximale Dateigröße für einzelne Dateien wurde überschritten,単一ファイルのサイズが制限を超えています,La taille d'un seul fichier dépasse la limite,El tamaño de un solo archivo supera el límite,O tamanho de um único ficheiro excede o limite,De grootte van een enkel bestand overschrijdt de limiet,La dimensione di un singolo file supera il limite,단일 파일 크기가 제한을 초과했습니다,單個檔案大小超過限制
10013,分享权限已失效,The link has expired,Der Freigabelink ist abgelaufen,共有権限が無効になりました,Le lien a expiré.,El enlace ha expirado,A ligação expirou,De link is verlopen,A ligação expirou,링크가 만료되었습니다,分享權限已失效
10014,无效的图片ID,Invalid photo ID,Ungültige Bild-ID,無効な画像ID,ID de photo invalide,ID de foto inválido,ID de imagem inválido,Ongeldig identiteitsbewijs met foto,ID immagine non valido,유효하지 않은 사진 ID,無效的圖片ID
