Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
3000,虚拟机创建失败,Fail to create virtual machine,Erstellung der virtuellen Maschine fehlgeschlagen,仮想マシン作成の失敗,Échec de la création d'une machine virtuelle,Fallo al crear máquina virtual,Falha ao criar a máquina virtual,Het aanmaken van de virtuele machine is mislukt,Creazione della macchina virtuale fallita,가상 머신 생성 실패,虛擬機創建失敗
3001,虚拟机名称重复,A virtual machine with the same already exists,Virtuelle Maschine mit demselben Namen existiert,仮想マシン名の重複,Une machine virtuelle ayant le même nom existe déjà,Ya existe una máquina virtual con el mismo nombre,Já existe uma máquina virtual com o mesmo nome,Virtuele machine met dezelfde naam bestaat,Esiste già una macchina virtuale con lo stesso nome,가상 머신 이름 중복,虛擬機名稱重複
3002,虚拟机编辑失败,Fail to edit virtual machine,Bearbeitung der virtuellen Maschine fehlgeschlagen,仮想マシン編集の失敗,Échec de l'édition de la machine virtuelle,Fallo al editar la máquina virtual,Falha ao editar a máquina virtual,Verwerking van de virtuele machine mislukt,Modifica della macchina virtuale fallita,가상 머신 편집 실패,虛擬機編輯失敗
3003,虚拟机删除失败,Fail to delete virtual machine,Löschung der virtuellen Maschine fehlgeschlagen,仮想マシン削除の失敗,Échec de la suppression de la machine virtuelle,Fallo al borrar máquina virtual,Falha ao excluir a máquina virtual,De virtuele machine is niet verwijderd,Eliminazione della macchina virtuale fallita,가상 머신 삭제 실패,虛擬機刪除失敗
3004,虚拟机关机失败,Fail to shut down virtual machine,Herunterfahren der virtuellen Maschine fehlgeschlagen,仮想マシンシャットダウンの失敗,Échec de l'arrêt de la machine virtuelle,Fallo al apagar la máquina virtual,Falha ao encerrar a máquina virtual,De virtuele machine kon niet worden afgesloten,Spegnimento della macchina virtuale fallito,가상 머신 종료 실패,虛擬機關機失敗
3005,虚拟机开机失败,Fail to start virtual machine,Starten der virtuellen Maschine fehlgeschlagen,仮想マシンのパワーオンの失敗,Échec du démarrage de la machine virtuelle,Fallo al iniciar la máquina virtual,Falha ao iniciar a máquina virtual,De virtuele machine is niet gestart,Avvio della macchina virtuale fallito,가상 머신 시작 실패,虛擬機開機失敗
3006,虚拟机强制关机失败,Fail to forcefully shut down virtual machine,Erzwungenes Herunterfahren der virtuellen Maschine fehlgeschlagen,仮想マシンの強制シャットダウンの失敗,Échec de l'arrêt forcé de la machine virtuelle,Fallo al apagar forzosamente la máquina virtual,Falha no encerramento forçado da máquina virtual,Geforceerde uitschakeling van de virtuele machine mislukt,Arresto forzato della macchina virtuale fallito,가상 머신 강제 종료 실패,虛擬機強制關機失敗
3007,虚拟机强制重启失败,Fail to forcefully restart virtual machine,Erzwungener Neustart der virtuellen Maschine fehlgeschlagen,仮想マシンのリブートの失敗,Échec du redémarrage forcé de la machine virtuelle,Fallo al reiniciar forzosamente la máquina virtual,Falha ao reiniciar forçadamente a máquina virtual,Geforceerde herstart van de virtuele machine mislukt,Riavvio forzato della macchina virtuale fallito,가상 머신 강제 재시작 실패,虛擬機強制重啓失敗
3008,虚拟机挂起失败,Fail to suspend virtual machine,Virtuelle Maschine suspendieren fehlgeschlagen,仮想マシンのハングの失敗,Échec de la suspension de la machine virtuelle,Fallo al suspender la máquina virtual,Falha ao suspender a máquina virtual,Opschorten virtuele machine mislukt,Sospensione della macchina virtuale fallita,가상 머신 일시 중지 실패,虛擬機掛起失敗
3009,虚拟机恢复运行失败,Fail to resume virtual machine,Wiederaufnahme der virtuellen Maschine fehlgeschlagen,仮想マシンの再開の失敗,Échec de la reprise de la machine virtuelle,Fallo al reanudar la máquina virtual,Falha ao retomar a máquina virtual,De virtuele machine kon niet worden hervat,Ripresa della macchina virtuale fallita,가상 머신 복구 실패,虛擬機恢復運行失敗
3010,生成快照失败,Fail to generate snapshot,Schnappschuss-Generierung fehlgeschlagen,スナップショット生成の失敗,Échec de la génération d'un instantané,Fallo al generar instantánea,Falha ao gerar o instantâneo,Snapshotgeneratie mislukt,Generazione dello snapshot fallita,스냅샷 생성 실패,生成快照失敗
3011,恢复快照失败,Fail to resume snapshot,Schnappschuss-Wiederaufnahme fehlgeschlagen,スナップショットの復元に失敗,Échec de la reprise de l'instantané,Fallo al reanudar la instantánea,Falha ao retomar o instantâneo,Snapshot herstel mislukt,Ripristino dello snapshot fallito,스냅샷 복구 실패,恢復快照失敗
3012,快照数量超过10个限制,The number of snapshots exceeds the limit of 10,Die Anzahl der Schnappschüsse überschreitet die Grenze von 10,スナップショット数が10を超えました,Le nombre d'instantanés dépasse la limite de 10,El número de instantáneas supera el límite de 10,O número de instantâneos excede o limite de 10,Het aantal snapshots overschrijdt de limiet van 10,Il numero di snapshot supera il limite di 10  ,스냅샷 수가 10개 제한을 초과함,快照數量超過10個限制
3013,编辑快照失败,Fail to edit snapshot,Schnappschussbearbeitung fehlgeschlagen,スナップショットの編集に失敗しました,Échec de l'édition de l'instantané,Fallo al editar la instantánea,Falha ao editar o instantâneo,Bewerken snapshot mislukt,Modifica dello snapshot fallita,스냅샷 편집 실패,編輯快照失敗
3014,创建网络失败,Fail to create snapshot,Netzwerkerstellung fehlgeschlagen,ネットワークの作成に失敗しました,Échec de la création du réseau,Fallo al crear instantánea,Falha ao criar o instantâneo,Netwerkaanmaak mislukt,Creazione dello snapshot fallita,네트워크 생성 실패,創建網絡失敗
3015,网络编辑失败,Fail to edit network,Netzwerkbearbeitung fehlgeschlagen,ネットワークの編集に失敗しました,Échec de la modification du réseau,Fallo al editar la red,Falha ao editar a rede,Netwerkverwerking mislukt,Modifica della rete fallita,네트워크 편집 실패,網絡編輯失敗
3016,网络删除失败,Fail to delete network,Netzwerk-Löschung fehlgeschlagen,ネットワーク削除失敗,Échec de la suppression du réseau,Fallo al borrar la red,Falha ao excluir a rede,Netwerk verwijderen mislukt,Eliminazione della rete fallita,네트워크 삭제 실패,網絡刪除失敗
3017,网络名称重复,A network with the same name already exists,Netzwerk mit demselben Namen existiert,ネットワーク名の重複,Nom du réseau dupliqué,Ya existe una red con el mismo nombre,Já existe uma rede com o mesmo nome,Netwerk met dezelfde naam bestaat,Esiste già una rete con lo stesso nome,네트워크 이름 중복,網絡名稱重複
3018,默认网络不能被删除,The default network cannot be deleted,Standardnetzwerk darf nicht gelöscht werden,デフォルトネットワークが削除できない,Le réseau par défaut ne peut pas être supprimé,La red por defecto no se puede borrar,A rede padrão não pode ser excluída.,Het standaardnetwerk mag niet worden verwijderd,La rete predefinita non può essere eliminata,기본 네트워크는 삭제할 수 없음,默認網絡不能被刪除
3019,虚拟机导出OVA文件失败,Fail to export OVA file in virtual machine,Exportieren von OVA-Dateien auf virtueller Maschine fehlgeschlagen,仮想マシンのOVAファイルのエクスポートに失敗しました,Échec de l'exportation d'un fichier OVA dans une machine virtuelle,Fallo al exportar archivo OVA en máquina virtual,Falha ao exportar o ficheiro OVA na máquina virtual,OVA-bestanden zijn niet geëxporteerd naar virtuele machine,Esportazione del file OVA nella macchina virtuale fallita,가상 머신 OVA 파일 내보내기 실패,虛擬機導出OVA文件失敗
