Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
create,创建,Creation,Erstellung,作成,la création,La creación,Criar,Maken,La creazione,생성,創建
update,更新,Update,Update,更新,la mise à jour,La actualización,Atualizar,Bijwerken,La rigenerazione,업데이트,更新
delete,删除,Deletion,Löschung,削除,la suppression,La eliminación ,excluir,Verwijderen,L'eliminazione,삭제,刪除
enable,启用,Enable,Aktivierung,有効,l’activation,La activación,ativar,Inschakelen,L'abilitazione,활성화,啓用
disable,禁用,Disable,Deaktivierung,無効,la désactivation,La desactivación,desativar,Uitschakelen,La disabilitazione,비활성화,禁用
expand,扩容,Expand,Erweitern,容量の拡張,Extension de capacité,Expandir,Expandir,Uitbreiding,Espandi,확장,擴容
lun_x_invalid_name_fail,%s失败，无效的LUN名称,%s failed due to invalid LUN name,"%s fehlgeschlagen, ungültiger LUN-Name",%sに失敗しました。無効なLUN名です。,Échec de %sen raison d'un nom de LUN non valide. ,%s falló debido a un nombre de LUN inválido.,%s falhou devido a nome de LUN inválido,"%s mislukt, ongeldige LUN naam",%s non è riuscita. Nome LUN non valido.,%s 실패. 잘못된 LUN 이름입니다,%s失敗，無效的LUN名稱
lun_x_same_name_fail,%s失败，存在同名LUN,%s failed due to duplicate LUN name,"%s fehlgeschlagen, LUN mit gleichem Namen existiert bereits",%sに失敗しました。同名のLUNが存在します。,Échec de %sen raison d'un nom de LUN dupliqué.,%s falló debido a un nombre de LUN duplicado.,%s falhou devido a nome de LUN duplicado,"%s mislukt, LUN met dezelfde naam bestaat",%s non è riuscita a causa di un nome LUN duplicato,%s 실패. 동일한 이름의 LUN이 이미 존재합니다,%s失敗，存在同名LUN
lun_x_error_size_fail,%s失败，存储空间容量不足,%s failed due to insufficient volume capacity,"%s fehlgeschlagen, unzureichende Volume-Kapazität",%sに失敗しました。ストレージ容量が不足しています。,Échec de %sen raison d'une capacité de volume insuffisante.,%s falló debido a capacidad insuficiente del volumen.,%s falhou devido a capacidade insuficiente do volume,"%s mislukt, onvoldoende opslag ruimte",%s non è riuscita a causa di una capacità di volume insufficiente,%s 실패. 볼륨 용량이 부족합니다,%s失敗，存儲空間容量不足
lun_x_error_count_fail,%s失败，LUN个数已达最大限制,%s failed as the maximum number of LUNs has been reached,"%s fehlgeschlagen, maximale Anzahl an LUNs erreicht",%sに失敗しました。LUNの上限数に達しています。,Échec de %s en raison d’une limite maximale de LUN atteinte.,%s falló: se alcanzó el número máximo de LUNs.,%s falhou: número máximo de LUNs atingido,"%s mislukt, het aantal LUN's heeft de maximale limiet bereikt",%s non è riuscita perché è stato raggiunto il numero massimo di LUN,%s 실패. LUN 개수가 최대 제한에 도달했습니다,%s失敗，LUN個數已達最大限制
lun_x_error_max_size_fail,LUN容量需小于文件系统限制%s,LUN capacity needs to be less than the file system limit %s,Capacidade do LUN precisa ser menor que o limite do sistema de ficheiros (%s),LUN容量はファイルシステムの制限%s未満である必要があります。,La capacité du LUN doit être inférieure à la limite du système de fichiers %s.,La capacidad LUN debe ser menor que el límite del sistema de archivos %s,Capacidade do LUN precisa ser menor que o limite do sistema de ficheiros (%s),LUN-grootte overschrijdt limiet van het bestandssysteem %s,La dimensione del LUN supera il limite del file system %s.,LUN 용량은 파일 시스템 제한 %s보다 작아야 합니다,LUN容量需小於文件系統限制%s
target_x_invalid_name_fail,%s失败，无效的Target名称,%s failed due to invalid target name,"%s fehlgeschlagen, ungültiger Target-Name",%sに失敗しました。無効なターゲット名です。,Échec de %sen raison d'un nom de Targetnon valide.,%s falló debido a un nombre de Target inválido.,%s falhou devido a nome de Target inválido,"%s mislukt, ongeldige doel naam",%s non è riuscita a causa di un nome target non valido,%s 실패. 잘못된 Target 이름입니다,%s失敗，無效的Target名稱
target_x_invalid_iqn_fail,%s失败，无效的IQN名称,%s failed due to invalid IQN name,"%s fehlgeschlagen, ungültiger IQN-Name",%sに失敗しました。無効なIQN名です。,Échec de %sen raison d'un nom d'IQN non valide.,%s falló debido a un nombre de IQN inválido.,%s falhou devido a nome IQN inválido,"%s mislukt, ongeldige IQN naam",%s non è riuscita a causa di un nome IQN non valido,%s 실패. 잘못된 IQN 이름입니다,%s失敗，無效的IQN名稱
target_x_same_name_fail,%s失败，存在同名Target,%s failed due to duplicate target name,"%s fehlgeschlagen, Target mit gleichem Namen existiert bereits",%sに失敗しました。同名のターゲットが存在します。,Échec de %sen raison d'un nom de Targetdupliqué.,%s falló debido a un nombre de Target duplicado.,%s falhou devido a nome de Target duplicado,"%s mislukt, doel met dezelfde naam bestaat",%s non è riuscita a causa di un nome target duplicato,%s 실패. 동일한 이름의 Target이 이미 존재합니다,%s失敗，存在同名Target
iscsi_x_same_iqn_fail,%s失败，存在同名IQN,%s failed due to duplicate IQN name,"%s fehlgeschlagen, IQN mit gleichem Namen existiert bereits",%sに失敗しました。同名のIQNが存在します。,Échec de %sen raison d'un nom d'IQN dupliqué.,%s falló debido a un nombre de IQN duplicado.,%s falhou devido a nome IQN duplicado,"%s mislukt, IQN met dezelfde naam bestaat",%s non è riuscita a causa di un nome IQN duplicato,%s 실패. 동일한 이름의 IQN이 이미 존재합니다,%s失敗，存在同名IQN
target_x_error_count_fail,%s失败，target个数已达最大限制,%s failed as the maximum number of targets has been reached,"%s fehlgeschlagen, maximale Anzahl an Targets erreicht",%sに失敗しました。ターゲットの数が上限に達しています。,Échec de %s en raison d’une limite maximale de target atteinte.,%s falló porque se alcanzó el número máximo de targets.,%s falhou: número máximo de targets atingido,"%s mislukt, het aantal doelen heeft de maximale limiet bereikt",%s non è riuscita perché è stato raggiunto il numero massimo di target,%s 실패. Target 개수가 최대 제한에 도달했습니다,%s失敗，target個數已達最大限制
target_x_chap_empty_fail,%s失败，用户名密码不能为空,%s failed. Username and password cannot be empty,%s fehlgeschlagen. Benutzername und Passwort dürfen nicht leer sein,%sに失敗しました。無効なIQN名です。,Échec de %s. Le nom d'utilisateur et le mot de passe ne peuvent pas être vides.,%s falló. El nombre de usuario y la contraseña no pueden estar vacíos.,%s falhou. Nome de usuário e senha não podem estar vazios,"%s mislukt, gebruikersnaam en wachtwoord mogen niet leeg zijn",%s non è riuscita. Nome utente e password non possono essere vuoti,%s 실패. 사용자 이름과 비밀번호는 비워둘 수 없습니다,%s失敗，用戶名密碼不能爲空
group_x_invalid_name_fail,%s失败，无效的Group名称,%s failed due to invalid Group name,"%s fehlgeschlagen, ungültiger Group-Name",%sに失敗しました。無効なGroup名です。,Échec de %sen raison d'un nom de Groupenon valide.,%s falló debido a un nombre de Group inválido.,%s falhou devido a nome de Group inválido,"%s mislukt, ongeldige groeps naam",%s non è riuscita a causa di un nome GRUPPO non valido,%s 실패. 잘못된 그룹 이름입니다,%s失敗，無效的Group名稱
group_x_invalid_iqn_fail,%s失败，无效的IQN名称,%s failed due to invalid IQN name,"%s fehlgeschlagen, ungültiger IQN-Name",%sに失敗しました。無効なIQN名です。,Échec de %sen raison d'un nom d'IQN non valide.,%s falló debido a un nombre de IQN inválido.,%s falhou devido a nome IQN inválido,"%s mislukt, ongeldige IQN naam",%s non è riuscita a causa di un nome IQN non valido,%s 실패. 잘못된 IQN 이름입니다,%s失敗，無效的IQN名稱
group_x_same_name_fail,%s失败，存在同名Group,%s failed due to duplicate Group name,"%s fehlgeschlagen, Group mit gleichem Namen existiert bereits",%sに失敗しました。同名のGroupが存在します。,Échec de %sen raison d'un nom de Groupe dupliqué.,%s falló debido a un nombre de Group duplicado.,%s falhou devido a nome de Group duplicado,"%s mislukt, groep met dezelfde naam bestaat",%s non è riuscita a causa di un nome GRUPPO duplicato,%s 실패. 동일한 이름의 그룹이 이미 존재합니다,%s失敗，存在同名Group
group_x_err_count_fail,%s失败，Group个数已达最大限制,%s failed as the maximum number of Groups has been reached,"%s fehlgeschlagen, maximale Anzahl an Groups erreicht",%sに失敗しました。Groupの数が上限に達しています。,Échec de %s en raison d’une limite maximale de Groupe atteinte.,%s falló porque se alcanzó el número máximo de Groups.,%s falhou: número máximo de Groups atingido,"%s mislukt, het aantal groepen heeft de maximale limiet bereikt",%s non è riuscita perché è stato raggiunto il numero massimo di GRUPPI,%s 실패. 그룹 개수가 최대 제한에 도달했습니다,%s失敗，Group個數已達最大限制
group_x_err_iqn_count_fail,%s失败，最多绑定256个IQN,%s failed. A maximum of 256 IQNs can be bound,%s fehlgeschlagen. Maximal 256 IQNs können gebunden werden,%sに失敗しました。最大で256個のIQNしかバインドできません。,Échec de %s. Un maximum de 256 IQN peut être lié.,%s falló. Se puede vincular un máximo de 256 IQNs.,%s falhou. Máximo de 256 IQNs podem ser vinculados,"%s mislukt, maximaal 256 IQN's kunnen worden gekoppeld",%s non è riuscita. È possibile associare un massimo di 256 IQN,%s 실패. 최대 256개의 IQN만 연동 가능,%s失敗，最多綁定256個IQN
iscsi_x_fail,%s失败，重试或联系技术支持,%s failed. Please retry or contact technical support,%s fehlgeschlagen. Bitte erneut versuchen oder technischen Support kontaktieren,%sに失敗しました。再試行するか、技術サポートにお問い合わせください。,Échec de %s. Veuillez réessayer ou contacter le support technique.,%s %s falló. Intente nuevamente o contacte al soporte técnico.,%s falhou. Tente novamente ou contate o suporte técnico,"%s mislukt, probeer het opnieuw of neem contact op met de technische ondersteuning",%s non è riuscita. Riprova o contatta il supporto tecnico,%s 실패. 다시 시도하거나 기술 지원에 문의하세요,%s失敗，重試或聯繫技術支持
iscsi_x_success,%s成功,%s succeeded,Erfolgreich %s,%sに成功しました。,%s réussie ,%s se completó con éxito.,%s concluído com sucesso,%s geslaagd,%s con successo,%s 성공,%s成功
setting_invalid_port_fail,设置失败，无效的端口号,Setting failed due to invalid port number,"Einstellung fehlgeschlagen, ungültige Portnummer",設定に失敗しました。無効なポート番号です。,Échec de la configuration en raison d'un numéro de port non valide.,Error en la configuración: número de puerto inválido.,Configuração falhou: número de porta inválido,"Instelling mislukt, ongeldig poort nummer",L'impostazione non è riuscita a causa di un numero di porta non valido,설정 실패. 잘못된 포트 번호입니다,設置失敗，無效的端口號
setting_invalid_prefix_fail,设置失败，无效的基础名称,Setting failed due to invalid base name,"Einstellung fehlgeschlagen, ungültiger Basisname",設定に失敗しました。無効なベースネームです。,Échec de la configuration en raison d'un nom de base non valide.,Error en la configuración: nombre base inválido.,Configuração falhou: nome base inválido,"Instelling mislukt, ongeldige basis naam",L'impostazione non è riuscita a causa di un nome base non valido,설정 실패. 잘못된 기본 이름입니다,設置失敗，無效的基礎名稱
setting_chap_empty_fail,设置失败，用户名密码不能为空,Setting failed. Username and password cannot be empty,Einstellung fehlgeschlagen. Benutzername und Passwort dürfen nicht leer sein,設定に失敗しました。ユーザー名とパスワードを空にすることはできません。,Échec de la configuration. Le nom d'utilisateur et le mot de passe ne peuvent pas être vides.,Error en la configuración. El nombre de usuario y la contraseña no pueden estar vacíos.,Configuração falhou. Nome de usuário e palavra-passe não podem estar vazios,"Instelling mislukt, gebruikersnaam en wachtwoord mogen niet leeg zijn",L'impostazione non è riuscita. Nome utente e password non possono essere vuoti,설정 실패. 사용자 이름과 비밀번호는 비워둘 수 없습니다,設置失敗，用戶名密碼不能爲空
setting_fail,设置失败，重试或联系技术支持,Setting failed. Please retry or contact technical support,Einstellung fehlgeschlagen. Bitte erneut versuchen oder technischen Support kontaktieren,設定に失敗しました。再試行するか、技術サポートにお問い合わせください。,Échec de la configuration. Veuillez réessayer ou contacter le support technique.,Error en la configuración. Vuelva a intentarlo o contacte con el soporte técnico.,Configuração falhou. Tente novamente ou contate o suporte técnico,"Instelling mislukt, probeer het opnieuw of neem contact op Technische ondersteuning",L'impostazione non è riuscita. Riprova o contatta il supporto tecnico,설정 실패. 다시 시도하거나 기술 지원에 문의하세요,設置失敗，重試或聯繫技術支持
setting_success,设置成功,Setting succeeded,Erfolgreich eingestellt,設定に成功しました。,Configuration réussie.,Configuración realizada con éxito.,Configuração concluída com sucesso,Instelling succesvol,L'impostazione è riuscita,설정 성공,設置成功
