Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
connection_fail,连接失败，请尽快前往处理,"connection failed, please handle it promptly",Verbindung fehlgeschlagen. Bitte so schnell wie möglich bearbeiten,接続に失敗しました、できるだけ早く処理してください,"La connexion a échoué, veuillez la traiter immédiatement.","La conexión ha fallado, por favor, resuélvalo lo antes posible","A ligação falhou, por favor, trate-a prontamente.","Verbinding mislukt, handel dit onmiddellijk af.","Connessione fallita, gestisci prontamente","연결 실패, 즉시 처리 바랍니다",連接失敗，請儘快前往處理
rsync_backup_fail,任务失败，请及时处理,"rsync backup fail, please handle it promptly",Aufgabe fehlgeschlagen. Bitte rechtzeitig bearbeiten,タスクが失敗しました、できるだけ早く処理してください,"Échec de la sauvegarde rsync, veuillez le traiter immédiatement.","Fallo en la copia de seguridad de rsync, por favor, resuélvalo rápidamente","Falha no backup com Rsync, por favor, resolva o problema prontamente.","Rsync back-up mislukt, handel dit onmiddellijk af.","Backup Rsync fallito, gestisci prontamente","작업 실패, 즉시 처리 바랍니다",任務失敗，請及時處理
path_not_exist,因本地路径不存在导致任务失败，请及时处理,"task failed since local path not exist, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil der lokale Pfad nicht vorhanden war. Bitte rechtzeitig bearbeiten.",ローカルパスが存在しないため、タスクは失敗しました、できるだけ早く処理してください,"La tâche a échoué car le chemin local n'existe pas, veuillez le traiter immédiatement.","La tarea ha fallado porque la ruta local no existe, por favor, resuélvalo lo antes posible","A tarefa falhou porque o caminho local não existe, por favor, trate-o prontamente.","Taak mislukt omdat lokaal pad niet bestaat, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso locale non esiste, gestisci prontamente","로컬 경로가 존재하지 않아 작업 실패, 즉시 처리 바랍니다",因本地路徑不存在導致任務失敗，請及時處理
remote_path_not_exist,因远程路径不存在导致任务失败，请及时处理,"task failed since remote path not exist, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil der Remote-Pfad nicht vorhanden war. Bitte rechtzeitig bearbeiten.",リモートパスが存在しないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échoué car le chemin d'accès distant n'existe pas, veuillez le traiter immédiatement.","La tarea ha fallado porque la ruta remota no existe, por favor, resuélvalo lo antes posible","A tarefa falhou porque o caminho remoto não existe, por favor, trate-o prontamente.","Taak mislukt omdat pad op afstand niet bestaat, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso remoto non esiste, gestisci prontamente","원격 경로가 존재하지 않아 작업 실패, 즉시 처리 바랍니다",因遠程路徑不存在導致任務失敗，請及時處理
path_no_permission,因本地路径无权限导致任务失败，请及时处理,"task failed since local path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den lokalen Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",ローカルパスに権限がないため、タスクに失敗しました、できるだけ早く処理してください,"La tâche a échouée car le chemin local n'est pas autorisé, veuillez le traiter immédiatement.","La tarea ha fallado ya que la ruta local no tiene permiso, por favor, resuélvalo lo antes posible","A tarefa falhou porque o caminho local não tem permissão, por favor, trate-a prontamente.","Taak mislukt omdat lokaal pad geen toestemming heeft, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso locale non ha permessi, gestisci prontamente","로컬 경로 권한이 없어 작업 실패, 즉시 처리 바랍니다",因本地路徑無權限導致任務失敗，請及時處理
remote_path_no_permission,因远程路径无权限导致任务失败，请及时处理,"task failed since remote path no permission, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil für den Remote-Pfad keine Berechtigungen vorhanden sind. Bitte rechtzeitig bearbeiten.",リモート・パスにパーミッションがないため、タスクに失敗しました、できるだけ早く処理してください,"Task failed since remote path no permission, please handle it promptly.","La tarea ha fallado ya que la ruta remota no tiene permisos, por favor, resuélvalo lo antes posible.","A tarefa falhou porque o caminho remoto não tem permissão, por favor trate-o prontamente.","Taak mislukt omdat pad op afstand geen toestemming heeft, gelieve dit onmiddellijk af te handelen.","Attività fallita poiché il percorso remoto non ha permessi, gestisci prontamente","원격 경로 권한이 없어 작업 실패, 즉시 처리 바랍니다",因遠程路徑無權限導致任務失敗，請及時處理
no_space_left_on_device,因本地存储空间不足导致任务失败，请及时处理,"Insufficient local storage space causing task failure, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil nicht genügend lokaler Speicherplatz vorhanden ist. Bitte rechtzeitig bearbeiten.",ローカル・ストレージ容量が不足しているため、タスクに失敗しました、できるだけ早く処理してください,"L'insuffisance de l'espace de stockage local est à l'origine de l'échec de la tâche, veuillez le traiter  immédiatement.","Insuficiente espacio de almacenamiento local causando un fallo en la tarea, por favor, resuélvalo lo antes posible","Espaço de armazenamento local insuficiente causando falha na tarefa, por favor, resolva o problema prontamente.","Onvoldoende lokale opslagruimte veroorzaakt taakstoring, handel dit onmiddellijk af.","Spazio di archiviazione locale insufficiente, causando il fallimento dell'attività, gestisci prontamente","로컬 저장 공간 부족으로 작업 실패, 즉시 처리 바랍니다",因本地存儲空間不足導致任務失敗，請及時處理
remote_no_space_left_on_device,因远程存储空间不足导致任务失败，请及时处理,"Insufficient remote storage space causing task failure, please handle it promptly","Die Aufgabe ist fehlgeschlagen, weil nicht genügend Remote-Speicherplatz vorhanden ist. Bitte rechtzeitig bearbeiten.",リモート・ストレージ容量が不足しているため、タスクに失敗しました、できるだけ早く処理してください,"L'insuffisance de l'espace de stockage à distance est à l'origine de l'échec de la tâche, veuillez le traiter  immédiatement.","Insuficiente espacio de almacenamiento remoto causando un fallo en la tarea, por favor, resuélvalo rápidamente","Espaço de armazenamento remoto insuficiente causando falha na tarefa, por favor, resolva o problema prontamente.",Onvoldoende opslagruimte op afstand veroorzaakt een mislukte taak.,"Spazio di archiviazione remoto insufficiente, causando il fallimento dell'attività, gestisci prontamente","원격 저장 공간 부족으로 작업 실패, 즉시 처리 바랍니다",因遠程存儲空間不足導致任務失敗，請及時處理
detail_task_interrupt,任务终止,task interrupt,Aufgabe abgebrochen,タスク終了,Interruption de tâche.,Interrupción de tarea,Interrupção da tarefa,Taakonderbreking.,Interruzione dell'attività,작업 종료,任務終止
detail_rsync_backup_fail,备份任务失败,Rsync backup fail,Sicherungsaufgabe fehlgeschlagen,バックアップ・タスクの失敗,La tâche de sauvegarde a échoué,Fallo en la copia de seguridad Rsync,Falha no backup Rsync,Rsync back-up mislukt.,Backup Rsync fallito,백업 작업 실패,備份任務失敗
