Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
compression,压缩,Compress,Komprimieren,圧縮,Compresser,Comprimir,Comprimir,Kompres,Comprimi,압축,壓縮
compression_failed,压缩失败,Compress failed,Komprimieren fehlgeschlagen,圧縮の失敗,Échec de la compression,Compresión fallida,Falha na compressão,Compressie mislukt,Compressione fallita,압축 실패,壓縮失敗
unzip,解压缩,Decompress,Dekomprimieren,解凍,Décompresser,Descomprimir,Descomprimir,decomprimeren,Decomprimi,압축 해제,解壓縮
decompression_failed,解压缩失败,Decompress failed,Dekomprimieren fehlgeschlagen,解凍失敗,Échec de la décompression,Descompresión fallida,Falha na descompressão,Decompressie mislukt,Decompressione fallita,압축 해제 실패,解壓縮失敗
copy,复制,Copy,Kopieren,コピー,Copier,Copia,Cópia,Kopie,Copia,복사,複製
copy_failure,复制失败,Copy failed,Kopieren fehlgeschlagen,コピー失敗,Échec de la copie,Error de copia,Falha na cópia,Kopiëren mislukt,Copia fallita,복사 실패,複製失敗
move,移动,Move,Verschieben,移動,Déplacer,Mover,Mover,Verplaats,Sposta,이동,移動
move_failed,移动失败,Move failed,Verschieben fehlgeschlagen,移動失敗,Échec du mouvement,Movimiento fallido,Falha no movimento,Verhuizing mislukt,Spostamento fallito,이동 실패,移動失敗
delete,删除,Delete,Löschen,削除,Supprimer,Eliminar,Excluir,Verwijder,Elimina,삭제,刪除
deletion_failed,删除失败,Delete failed,Löschen fehlgeschlagen,削除に失敗しました,Échec de la suppression,Eliminación fallida,Falha na exclusão,Verwijderen mislukt,Eliminazione fallita,삭제 실패,刪除失敗
add_to_task_center,已添加“%s”至【任务中心】,"Added ""%s""  to Task Center",„%s“ zum „Aufgabenzentrum“ hinzugefügt,「タスク・センター」に「%s」を追加しました,"Ajout de ""%s"" à ""Centre des tâches""","Añadido ""%s"" al Centro de Tareas","Adicionado ""%s"" ao Centro de Tarefas","""%s"" toegevoegd aan ""Taakcentrum"".","Aggiunto ""%s"" al Centro attività",“%s”이(가) 【작업 센터】에 추가되었습니다.,已添加“%s”至【任務中心】
