Code,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
600000,监控中心启动中,Starting Surveillance Center...,Surveillance wordt gestart...,„Überwachung“ wird gestartet...,Vigilância iniciando...,Iniciando Centro de Vigilancia...,Avvio della sorveglianza...,Démarrage du Centre de surveillance…,監視センター起動中,모니터링 센터 시작 중...,監控中心啟動中
600400,无效的请求参数,Invalid request parameters,Ongeldige aanvraagparameter,Ungültige Anfrageparameter,Parâmetros de solicitação inválidos,Parámetros de solicitud inválidos,Parametri di richiesta non validi,Paramètres de requête invalides,無効なリクエストパラメータ,유효하지 않은 요청 파라미터,無效的請求參數
600401,验证次数已达上限，请稍后重试,Reached the verification limit. Please try again later,Het aantal verificaties is bereikt. Probeer het later opnieuw,Die maximale Anzahl an Verifizierungen wurde erreicht. Bitte später erneut versuchen,Atingido o limite de verificação. Tente novamente mais tarde,"Se ha alcanzado el límite de verificación. Por favor, inténtelo de nuevo más tarde",Raggiunto il limite di verifica. Riprova più tardi,"Nombre de tentatives atteint, veuillez réessayer plus tard.",認証回数の上限に達しました。しばらくしてからもう一度お試しください。,인증 횟수가 한도에 도달했습니다. 잠시 후 다시 시도해 주세요.,驗證次數已達上限，請稍後重試
600403,权限不足,Insufficient permissions,Onvoldoende machtigingen,Unzureichende Berechtigungen,Autorizações insuficientes,Permisos insuficientes,Autorizzazioni insufficienti,Autorisations insuffisantes,権限が不足しています,권한 부족,權限不足
600404,权限不足，无法迁移,"Insufficient permissions, unable to migrate",Onvoldoende machtigingen om te migreren,"Unzureichende Berechtigung, Migration nicht möglich","Permissões insuficientes, impossível migrar","Permisos insuficientes, no se puede realizar la migración				","Permessi insufficienti, migrazione impossibile",Autorisations insuffisantes pour effectuer la migration,権限不足です。移行することができません。,"권한 부족, 마이그레이션 불가",權限不足，無法遷移
600405,非法的设备名称,Invalid device name,Ongeldige apparaatnaam,Ungültiger Gerätename,Nome do dispositivo inválido,Nombre de dispositivo inválido,Nome del dispositivo non valido,Nom d'appareil non valide,無効なデバイス名,잘못된 장치명,非法定裝置名稱
600406,超出当前存储空间可用容量,Exceeded currently available volume capacity,Beschikbare volume-capaciteit overschreden,Verfügbare Volume-Kapazität überschritten,Capacidade de volume disponível excedida,Se excedió la capacidad de volumen disponible,Superato il limite di capacità del volume attualmente disponibile,Capacité du volume disponible dépassée,現在のボリューム空き容量を超えています,현재 볼륨 사용 가능 용량 초과,超出目前儲存空間可用容量
600407,超出目标共享目录可用容量,Exceeded the available capacity of the target shared directory,De beschikbare capaciteit van de doelgedeelde map is overschreden,Verfügbare Kapazität des Ziel-Freigabeordners überschritten,Excedeu a capacidade disponível do catálogo compartilhado de destino,Se ha superado la capacidad disponible del directorio compartido de destino,È stata superata la capacità disponibile della directory condivisa di destinazione,Capacité disponible du répertoire partagé cible dépassée,目標共有ディレクトリの利用可能容量を超えました,대상 공유 디렉토리의 사용 가능 용량을 초과했습니다,超出目標共用目錄的可用容量
600408,修改存储天数不得小于该摄像头已消耗的天数（当前已消耗 %v 天）,Retention period cannot be shorter than current usage (Current retention: %v days),De ingestelde bewaarperiode mag niet korter zijn dan het huidige gebruik (momenteel %v dagen gebruikt),Die festgelegte Speicherdauer darf nicht kürzer sein als die bereits von dieser Kamera genutzte Dauer (derzeit %v Tage verwendet),O período de retenção não pode ser inferior à utilização atual (Retenção atual: %v dias),El período de retención no puede ser inferior al uso actual (Retención actual: %v día),Il periodo di conservazione non può essere inferiore all'utilizzo attuale (Conservazione attuale: %v giorni),La durée de conservation ne peut pas être inférieure à l'utilisation actuelle (Durée actuelle : %v jours),保存日数は既経過日数より短く設定できません（現在の既経過日数：%v日）,보존 기간은 현재 사용 기간보다 짧을 수 없습니다 (현재 보존 기간: %v 일),修改儲存天數不得小於該攝影機已消耗的天數（目前已消耗 %v 天）
600409,修改存储容量不得小于该摄像头已消耗的容量（当前已消耗 %vGB）,The capacity cannot be lower than current usage (Used: %v GB),De ingestelde capaciteit mag niet kleiner zijn dan de reeds door deze camera gebruikte capaciteit (momenteel %v GB gebruikt).,Die festgelegte Kapazität darf nicht kleiner sein als die bereits genutzte Kapazität der Kamera (derzeit %v GB genutzt).,A capacidade não pode ser inferior à utilização atual (Utilizado: %v GB),La capacidad no puede ser inferior al uso actual (Usado: %v GB),La capacità non può essere inferiore all'utilizzo corrente (Utilizzato: %v GB),La capacité ne peut pas être inférieure à l'utilisation actuelle (utilisé : %v GB),容量は現在の使用量（使用中：%v GB）より小さく設定できません,수정 저장 용량은 이미 사용한 용량보다 낮을 수 없습니다(%v GB 사용됨),修改儲存容量不得小於該攝影機已消耗的容量（目前已消耗 %vGB）
