Key,zh-CN,en-US,nl-NL,de-DE,pt-PT,es-ES,it-IT,fr-FR,ja-JP,ko-KR,zh-TW
migration_paused,迁移暂停中,Migration suspended,Migratie gepauzeerd,Migration pausiert,Migração pausada,Migración suspendida,Migrazione in pausa,Migration suspendue,移行は一時停止中,마이그레이션 일시 중지 중,遷移暫停中
migration_error,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式","Insufficient volume capacity of the migration destination of %s (%s), please select a processing method",Onvoldoende volume-capaciteit op de migratiebestemming van %s (%s). Kies een verwerkingsmethode.,"Unzureichende Volume-Kapazität am Migrationsziel von %s (%s), wählen Sie bitte eine Verarbeitungsmethode aus.",O espaço de armazenamento de destino %s(%s) é insuficiente para a migração. Selecione como deseja proceder.,"Capacidad insuficiente en el volumen de destino para migrar %s (%s), seleccione un método de procesamiento","%s(%s) Capacità insufficiente nel dispositivo di destinazione, seleziona un modo di lavorazione",Capacité de volume insuffisante sur la destination de migration de %s (%s). Veuillez sélectionner une méthode de traitement.,%s（%s）の移行先ボリュームの容量が不足しています。対応方法を選択してください。,%s(%s)이(가) 이동될 대상 저장 공간의 용량이 부족합니다. 처리 방법을 선택해 주세요.,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式"
location_tag_bedroom,卧室,Bedroom,Slaapkamer,Schlafzimmer,Quarto,Dormitorio,Camera,Chambre,寝室,침실,臥室
location_tag_living_room,客厅,Living room,Woonkamer,Wohnzimmer,Sala,Sala de estar,Soggiorno,Salon,リビングルーム,거실,客廳
location_tag_doorway,门口,Door,Deur,Eingang,Entrada,Entrada,Ingresso,Entrée,門口,현관,門口
location_tag_balcony,阳台,Balcony,Balkon,Balkon,Varanda,Balcón,Balcone,Balcon,ベランダ,발코니,陽台
device_status,设备状态,Status,Apparaatstatus,Gerätestatus,Estado ,Estado,Stato dispositivo,État,デバイスの状態,장치 상태,裝置狀態
device_status_online,在线,Online,Online,Online,Online,En línea,Online,En ligne,オンライン,온라인,線上
device_status_offline,离线,Offline,Offline,Offline,Offline,Desconectado,Offline,Hors ligne,オフライン,오프라인,離線
device_status_disable,禁用,Disable,Uitgeschakeld,Deaktiviert,Desativado,Desactivar,Disabilita,Désactiver,無効,비활성화됨,禁用
device_status_enable,启用,Enable,Ingeschakeld,Aktiviert,Ativar,Activar,Abilita,Activer,有効,활성화됨,啟用
device_status_deleted,已删除,Deleted,Verwijderd,Gelöscht,Excluído,Eliminado,Eliminato,Supprimé,削除済み,삭제됨,已删除
device_association_restored,设备关联恢复,Device association restored,Apparaatkoppeling herstellen,Geräteverknüpfung wiederherstellen,Recuperando vinculação do dispositivo,Asociación del dispositivo restaurada,Ripristino associazione ,Association de l'appareil restaurée,デバイスの関連復元,장치 연결 복원,裝置關聯復原
restoring_device_association,设备关联恢复中,Device association restoring,Apparaatkoppeling wordt hersteld,Geräteverknüpfung wird wiederhergestellt,Dispositivo em processo de recuperação de vinculação,Restaurando asociación del dispositivo,Ripristino associazione in corso,Restauration de l'association de l'appareil en cours,デバイスの関連復元中,장치 연결 복원 중,裝置關聯復原中
device_association_recovery_failed_notify,设备关联恢复出错，请重试，您也可以取消关联以新设备方式添加,"Device association restoration error. Please try again, or you can cancel the association and add it as a new device","Fout bij het herstellen van de apparaatkoppeling, probeer het opnieuw. U kunt de koppeling ook annuleren en het apparaat als nieuw toevoegen.","Fehler bei der Wiederherstellung der Geräteverknüpfung, bitte erneut versuchen. Alternativ können Sie die Verknüpfung aufheben und das Gerät als neues hinzufügen.",Erro ao restaurar associação do dispositivo. Tente novamente ou cancele a associação para adicionar como novo dispositivo,"Error en la restauración de la asociación del dispositivo. Por favor, inténtelo de nuevo, o puede cancelar la asociación y agregarlo como un nuevo dispositivo.","Errore nel ripristino dell'associazione del dispositivo, riprova o annulla l'associazione per aggiungere come nuovo dispositivo",Erreur de restauration de l'association de l'appareil. Veuillez réessayer ou annuler l'association pour l'ajouter comme nouvel appareil.,デバイスの関連復元中にエラーが発生しました。再試行してください。または、関連付けを解除して新しいデバイスとして追加することも可能です。,"장치 연결 복원에 실패했습니다. 다시 시도하거나, 연결을 취소하고 새 장치로 추가할 수 있습니다.",裝置關聯復原出錯，請重試，您也可以取消關聯以新裝置方式新增
