Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
2001,当前镜像不存在,Current image does not exist,Das aktuelle Image existiert nicht,現在のミラーが存在しない,L'image actuelle n'existe pas,La imagen actual no existe,A imagem atual não existe,L'immagine corrente non esiste,L'immagine corrente non esiste,현재 이미지가 존재하지 않음,當前鏡像不存在
2002,镜像已存在,Image already exists,Image existiert bereits,ミラーはすでに存在する,L'image existe déjà,La imagen ya existe,Imagem já existe,L'immagine esiste già,L'immagine esiste già,이미지가 이미 존재함,鏡像已存在
2004,试图删除一个预定义的网络,Attempt to delete a predefined network,"Versuch, ein vordefiniertes Netzwerk zu löschen",定義済みネットワークを削除しようとしている,Tentative de suppression d'un réseau prédéfini,Intento de suprimir una red predefinida,Tentativa de excluir uma rede predefinida,Tentativo di eliminare una rete predefinita,Tentativo di eliminare una rete predefinita,사전 정의된 네트워크를 삭제하려 시도함,試圖刪除一個預定義的網絡
2010,无法连接docker引擎,Cannot connect to the docker engine,Keine Verbindung zur Docker-Engine möglich,dockerエンジンに接続できません,Impossible de se connecter au moteur Docker,No se puede conectar al motor Docker,Não é possível conectar ao motor Docker,Impossibile connettersi al motore docker,Impossibile connettersi al motore Docker,Docker 엔진에 연결할 수 없음,無法連接docker引擎
2016,docker正在数据迁移中,Docker is migrating data,Docker wird Daten migriert,dockerはデータ移行中です。,Docker migre les données,Docker está migrando datos,Docker está migrando dados,Docker sta migrando i dati,Docker sta migrando i dati,Docker가 데이터 마이그레이션 중임,docker正在數據遷移中
2019,镜像删除失败,Failed to delete image,Fehler beim Löschen des Images,イメージの削除に失敗しました,Échec de la suppression de l'image,Fallo al borrar la imagen,Falha ao excluir imagem,Non è stato possibile eliminare l'immagine,Eliminazione dell'immagine fallita,이미지 삭제 실패,鏡像刪除失敗
2020,强制关闭容器失败,Failed to forcefully stop container,Container konnte nicht zwangsweise gestoppt werden,コンテナの強制終了に失敗しました,Échec de l'arrêt forcé du conteneur,Fallo al forzar la detención del contenedor,Falha ao forçar a parada do contenter,Impossibile arrestare forzatamente il contenitore,Arresto forzato del container fallito,컨테이너 강제 종료 실패,強制關閉容器失敗
2021,容器编辑失败,Failed to edit container,Containerbearbeitung fehlgeschlagen,コンテナの編集に失敗しました,Échec de la modification du conteneur,Fallo al editar el contenedor,Falha ao editar contenter,Impossibile modificare il contenitore,Modifica del container fallita,컨테이너 편집 실패,容器編輯失敗
2022,容器启动失败,Failed to start container,Containerstart fehlgeschlagen,コンテナの起動に失敗しました,Échec du démarrage du conteneur,Fallo al iniciar el contenedor,Falha ao iniciar contenter,Impossibile avviare il contenitore,Avvio del container fallito,컨테이너 시작 실패,容器啓動失敗
2023,容器重启失败,Failed to restart container,Containernneustart fehlgeschlagen,コンテナ再起動失敗,Échec du redémarrage du conteneur,Fallo al reiniciar el contenedor,Falha ao reiniciar contenter,Non è riuscito a riavviare il contenitore,Riavvio del container fallito,컨테이너 재시작 실패,容器重啓失敗
2024,容器停止运行失败,Failed to stop container,Der Betrieb des Containers wurde nicht gestoppt,コンテナの実行停止失敗,Échec de l'arrêt du conteneur,Fallo al detener el contenedor,Falha ao parar contenter,Impossibile arrestare il contenitore,Arresto del container fallito,컨테이너 중지 실패,容器停止運行失敗
2025,nas路径加载镜像失败,Failed to load image via NAS path ,Das Image im NAS-Pfad konnte nicht geladen werden,nasパスでのイメージのロードに失敗,Échec du chargement de l'image via le chemin NAS,Fallo al cargar la imagen a través de la ruta NAS,Falha ao carregar imagem via caminho NAS,Impossibile caricare l'immagine tramite il percorso NAS,Caricamento dell'immagine tramite percorso NAS fallito,NAS 경로에서 이미지 로드 실패,nas路徑加載鏡像失敗
