Code,zh-CN,en-US,de-DE,ja-JP,fr-FR,nl-NL,pt-PT,es-ES,it-IT,ko-KR,zh-TW
20001,磁盘空间容量不足,Insufficient space of hard disk,Unzureichender Festplattenspeicherplatz,ディスク容量が不十分です,Capacité disque insuffisante,Onvoldoende schijfcapaciteit,Capacidade de disco insuficiente,Capacidad de disco insuficiente,Capacità del disco insufficiente,디스크 공간 용량 부족,磁盤空間容量不足
20002,用户没有权限读写磁盘路径,Permission denied to read or write to disk path,Keine Berechtigung zum Lesen oder Schreiben des Festplattenpfads,ユーザーにはディスクパスの読み取りまたは書き込み権限がありません,Autorisation refusée pour lire ou écrire sur le chemin du disque,Toestemming geweigerd om te lezen of schrijven naar schijf pad,Permissão negada para ler ou escrever no caminho do disco,Permiso denegado para leer o escribir en la ruta del disco,Permesso negato per leggere o scrivere nella percorso del disco Backup fallito,사용자에게 디스크 경로 읽기/쓰기 권한 없음,用戶沒有權限讀寫磁盤路徑
20003,备份失败,Backup task failed.,Sicherungsaufgabe fehlgeschlagen,バックアップタスクが失敗しました,Échec de la sauvegarde,Backup mislukt,Falha no backup,Fallo en la copia de seguridad,Backup non riuscito,백업 실패,備份失敗
20004,备份目的地丢失,Backup destination lost,Das Sicherungsziel verloren,バックアップ先が失われました,Destination de sauvegarde introuvable,Backup bestemming verloren,Destino do backup perdido,Se ha perdido el destino de la copia de seguridad,Destinazione del backup persa,백업 대상지 분실,備份目的地丟失
20005,服务器内部错误,Internal error,Interner Fehler,内部エラー,Erreur interne du serveur,Interne server fout,Erro interno do servidor,Error interno del servidor,Errore interno del server,서버 내부 오류,服務器內部錯誤
20006,临时文件不存在,Temporary file not found,Temporäre Datei nicht gefunden,一時ファイルが存在しません,Fichier temporaire introuvable,Tijdelijk bestand niet gevonden,Ficheiro temporário não encontrado,Archivo temporal no encontrado,File temporaneo non trovato,임시 파일 없음,臨時文件不存在
20007,照片已经存在,Photo already exists,Das Foto existiert bereits,写真はすでに存在します,La photo existe déjà,Foto bestaat al,A foto já existe,La foto ya existe,Foto già esistente,사진이 이미 존재함,照片已經存在
20008,路径不规范或不存在,The path is either non-standard or not found,Der Pfad ist entweder nicht standardisiert oder nicht gefunden.,パスが標準化されていないか、存在しません,"Le chemin est soit non conforme, soit introuvable",Het pad is niet standaard of niet gevonden,O caminho é inválido ou não encontrado,La ruta no es estándar o no se encuentra,Il percorso è non standard o non trovato,경로가 규격에 맞지 않거나 존재하지 않음,路徑不規範或不存在
20009,连接不存在,Connection not found,Verbindung nicht gefunden,接続が存在しません,La connexion n'existe pas,Verbinding niet gevonden,Conexão não encontrada,Conexión no encontrada,Connessione non trovata,연결 없음,連接不存在
20010,备份包正在被使用,Backup package is being used,Sicherungspaket wird verwendet,バックアップパッケージが使用中です,Le package de sauvegarde est en cours d'utilisation,Backup pakket wordt gebruikt,O pacote de backup está em uso,Se está utilizando un paquete de copia de seguridad,Il pacchetto di backup è in uso,백업 패키지가 사용 중임,備份包正在被使用
20011,无效的备份包,Invalid Backup package	,Ungültiges Sicherungspaket,無効なバックアップ パッケージ,Package de sauvegarde invalide,Ongeldig backup pakket,Pacote de backup inválido,Paquete de copia de seguridad no válido,Pacchetto di backup non valido,유효하지 않은 백업 패키지,無效的備份包
20012,备份上传的临时目录不存在,Temporary directory for backup upload not found	,Das temporäre Verzeichnis für den Backup-Upload nicht gefunden,バックアップアップロード用の一時ディレクトリが存在しません,Le répertoire temporaire pour l'envoi de la sauvegarde n'existe pas,Tijdelijke directory voor backup upload niet gevonden,Diretório temporário para upload de backup não encontrado,No se ha encontrado el directorio temporal para subir la copia de seguridad,Directory temporanea per il caricamento del backup non trovata,백업 업로드 임시 디렉토리 없음,備份上傳的臨時目錄不存在
20107,用户名或密码错误,Wrong username or password,Falscher Benutzername oder falsches Passwort,ユーザー名またはパスワードが間違っています,Nom d'utilisateur ou mot de passe incorrect,Verkeerde gebruikers naam of wachtwoord,Nome de utilizador ou palavra-passe incorretos,Nombre de usuario o contraseña incorrectos,Nome utente o password errati,사용자 이름 또는 비밀번호 오류,用戶名或密碼錯誤
20108,ip校验错误,IP verification error,IP-Überprüfungsfehler,IP検証エラー,Erreur de vérification IP,IP verificatie fout,Erro de verificação de IP,Error de verificación de IP,Errore di verifica IP,IP 검증 오류,ip校驗錯誤
20109,所选本地路径不存在,The selected local path not found,Der ausgewählte lokale Pfad nicht gefunden,選択したローカル パスは存在しません,Le chemin local sélectionné n'existe pas,Het geselecteerde lokale pad niet gevonden,O caminho local selecionado não encontrado,No se ha encontrado la ruta local seleccionada,Percorso locale selezionato non trovato,선택한 로컬 경로 존재하지 않음,所選本地路徑不存在
20110,同步失败,Sync error.,Synchronisierungsfehler,同期に失敗しました,Échec de la synchronisation,Synchronisatie fout.,Erro de sincronização.,Error de sincronización.,Errore di sincronizzazione,동기화 실패,同步失敗
20111,空间超出限额,Space exceeded quota.,Speicherplatz überschreitet das Kontingent,スペースがクォータを超えています,Espace dépassant la limite de quota,Ruimte overschrijdt quotum.,O espaço excedeu a quota.,Se ha superado la cuota de espacio.,Spazio superato rispetto alla quota,공간 한도 초과,空間超出限額
20112,所选远程路径不存在,The selected remote path not found,Der ausgewählte Remotepfad nicht gefunden,選択したリモート パスは存在しません,Le chemin distant sélectionné  introuvable,Het geselecteerde externe pad niet gevonden,O caminho remoto selecionado não encontrado,No se ha encontrado la ruta remota seleccionada,Percorso remoto selezionato non trovato,선택한 원격 경로 존재하지 않음,所選遠程路徑不存在
20113,请求远端服务器错误,Remote server request error,Fehler bei der Anfrage an den Remote-Server,リモートサーバーのリクエスト中にエラーが発生しました,Erreur de requête au serveur distant,Fout bij externe server aanvraag,Erro na solicitação do servidor remoto,Error de solicitud del servidor remoto,Errore di richiesta al server remoto,원격 서버 요청 오류,請求遠端服務器錯誤
20114,未知错误,Unknown error.,Unbekannter Fehler,不明なエラー,Erreur inconnue,Onbekende fout.,Erro desconhecido,Error desconocido.,Errore sconosciuto,알 수 없는 오류,未知錯誤
20115,远程路径使用中,Remote path is being used,Remotepfad wird verwendet,使用中のリモートパス,Le chemin distant est en cours d'utilisation,Extern pad wordt gebruikt,Caminho remoto em uso,Se está utilizando la ruta remota,Il percorso remoto è in uso,원격 경로 사용 중,遠程路徑使用中
20116,同步目录无权限，空间不足，丢失等，导致创建标记失败,"Permission denied or missing or insufficient space for the current sync directory, and the sync mark cannot be created successfully. You can cancel the sync task and create again (the synced files are not affected)","Aufgrund von keiner Berechtigung für das Synchronisierungsverzeichnis, unzureichendem Speicherplatz, Verlust usw. ist das Erstellen eines Markers fehlgeschlagen",同期ディレクトリにパーミッションがない、容量が足りない、見つからないなどの理由でマーカーの作成に失敗する,"La création du marqueur a échoué en raison d'un manque d'autorisation pour le répertoire, d'un espace de stockage insuffisant, d'une perte, etc.","Marker creatie mislukt vanwege gebrek aan toestemming voor directory, onvoldoende opslagruimte, verlies, enz.","Falha na criação de marcador devido à falta de permissão para o diretório, espaço insuficiente, perda, etc.","La creación del marcador falló debido a la falta de permiso para el directorio, espacio de almacenamiento insuficiente, pérdida, etc.","Creazione del marker non riuscita a causa della mancanza di autorizzazioni per la directory, spazio di archiviazione insufficiente, perdita, ecc.","동기화 디렉터리 권한 없음, 공간 부족, 분실 등으로 인해 표시 생성 실패",同步目錄無權限，空間不足，丟失等，導致創建標記失敗
