Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
cate.证件,证件,IDs & Bank cards,Ausweise,証明書,Pièce d'identité,Documentos de identidad & Tarjetas bancarias,IDs & Cartões bancários,Identiteitsbewijzen,Documenti d'identità & Carte bancarie,신분증 및 은행 카드,證件
cate.商品码,商品码,Product codes,Produktcode,商品コード,Code produit,Códigos de producto,Códigos de produto,Productcodes,Codici prodotto,제품 코드,商品碼
cate.交通工具,交通工具,Vehicles,Fahrzeuge,乗り物,Véhicules,Vehículos,Veículos,Voertuigen,Veicoli,교통편,交通工具
cate.球类运动,球类运动,Ball sports,Ballsport,球技,Sports de balle,Deportes de pelota,Desportos com bola,Balsporten,Sport con palla,구기 운동,球類運動
cate.税单/单据,税单/单据,Tax bills/Vouchers,Steuerrechnungen/Belege,税関申告書 / 領収書,Factures / Reçus,Facturas de impuestos/Vales,Faturas/Recibos,Belastingfacturen/Bonnen,Fatture fiscali/Ricevute,세금 고지서/영수증,稅單/單據
cate.自拍,自拍,Selfies,Selfies,自撮り写真,Selfies,Selfies,Selfies,Selfies,Selfie,셀카,自拍
cate.猪,猪,Pigs,Schweine,豚,Cochons,Cerdos,Porcos,Varkens,Maiali,돼지,豬
cate.鱼,鱼,Fishes,Fische,魚,Poissons,Peces,Peixes,Vissen,Pesci,물고기,魚
cate.游泳,游泳,Swimming,Schwimmen,水泳,Natation,Natación,Natação,Zwemmen,Nuoto,수영,游泳
cate.雪景,雪景,Snow,Schnee,雪景色,Neige,Nieve,Neve,Sneeuw,Neve,설경,雪景
cate.蟹,蟹,Crabs,Krabben,蟹,Crabes,Cangrejos,Caranguejos,Krabben,Granchi,게,蟹
cate.虾,虾,Shrimps,Garnelen,エビ,Crevettes,Camarones,Camarões,Garnalen,Gamberetti,새우,蝦
cate.蜥蜴,蜥蜴,Lizards,Echsen,トカゲ,Lézards,Lagartos,Lagartos,Hagedissen,Lucertole,도마뱀,蜥蜴
cate.文本,文本,Texts,Texte,テキスト,Textes,Textos,Textos,Teksten,Testi,텍스트,文字
cate.兔,兔,Rabbits,Kaninchen,ウサギ,Lapins,Conejos,Coelhos,Konijnen,Conigli,토끼,兔
cate.天空,天空,Sky,Himmel,空,Ciel,Cielo,Céu,Lucht,Cielo,하늘,天空
cate.鼠,鼠,Mice,Mäuse,ネズミ,Rats,Ratones,Ratos,Muizen,Topi,쥐,鼠
cate.蛇,蛇,Snakes,Schlangen,蛇,Serpents,Serpientes,Cobras,Slangen,Serpenti,뱀,蛇
cate.山脉,山脉,Mountains,Berge,山,Montagnes,Montañas,Montanhas,Bergen,Montagne,산맥,山脈
cate.沙漠,沙漠,Deserts,Wüste,砂漠,Déserts,Desiertos,Desertos,Woestijnen,Dessert,사막,沙漠
