Key,zh-CN,en-US,de-DE,ja-JP,fr-FR,es-ES,pt-PT,nl-NL,it-IT,ko-KR,zh-TW
migration_error,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式","Insufficient volume capacity of the migration destination of %s (%s), please select a processing method","Unzureichende Volume-Kapazität am Migrationsziel von %s (%s), wählen Sie bitte eine Verarbeitungsmethode aus.",%s（%s）の移行先ボリュームの容量が不足しています。対応方法を選択してください。,Capacité de volume insuffisante sur la destination de migration de %s (%s). Veuillez sélectionner une méthode de traitement.,"Capacidad insuficiente en el volumen de destino para migrar %s (%s), seleccione un método de procesamiento",O espaço de armazenamento de destino %s(%s) é insuficiente para a migração. Selecione como deseja proceder.,Onvoldoende volume-capaciteit op de migratiebestemming van %s (%s). Kies een verwerkingsmethode.,"%s(%s) Capacità insufficiente nel dispositivo di destinazione, seleziona un modo di lavorazione",%s(%s)이(가) 이동될 대상 저장 공간의 용량이 부족합니다. 처리 방법을 선택해 주세요.,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式"
record_migration_failed_notify,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式","Insufficient volume capacity of the migration destination of %s (%s), please select a processing method","Unzureichende Volume-Kapazität am Migrationsziel von %s (%s), wählen Sie bitte eine Verarbeitungsmethode aus.",%s（%s）の移行先ボリュームの容量が不足しています。対応方法を選択してください。,Capacité de volume insuffisante sur la destination de migration de %s (%s). Veuillez sélectionner une méthode de traitement.,"Capacidad insuficiente en el volumen de destino para migrar %s (%s), seleccione un método de procesamiento",O espaço de armazenamento de destino %s(%s) é insuficiente para a migração. Selecione como deseja proceder.,Onvoldoende volume-capaciteit op de migratiebestemming van %s (%s). Kies een verwerkingsmethode.,"%s(%s) Capacità insufficiente nel dispositivo di destinazione, seleziona un modo di lavorazione",%s(%s)이(가) 이동될 대상 저장 공간의 용량이 부족합니다. 처리 방법을 선택해 주세요.,"%s(%s)迁移到的目标存储空间容量不足,请选择处理方式"
ugreen_event_fire,火焰检测,Fire detection,Feuererkennung,火の検知,Détection de flamme,Detección de llamas,Detecção de incêndios,Branddetectie,Rilevamento incendi,화재 감지,火焰偵測
ugreen_event_field_intrusion,进入区域,Detection zone entry,Betreten des Bereichs,エリア進入検知,Détection d’entrée dans la zone,Detección de entrada a la zona,Entrada na zona de deteção,Betreden van de detectiezone,Ingresso nella zona di rilevamento,감지 영역 진입,進入偵測區域
ugreen_event_line_crossing,越线检测,Line crossing detection,Linienüberschreitung,ライン通過検知,Détection de franchissement de ligne,Detección de cruce de líneas,Detecção de ultrapassagem de linha,Lijnoverschrijding,Rilevamento dell'attraversamento della linea,월선 감지,越線偵測
ugreen_event_field_exit,离开区域,Detection zone exit,Verlassen des Bereichs,エリア退出検知,Détection de sortie de zone,Detección de salida de la zona,Saída da zona de deteção,Uitgang detectiezone,Uscita dalla zona di rilevamento,감지 영역 이탈,離開偵測區域
ugreen_event_object_removal,物品丢失,Object removal,Gegenstand verloren,物品紛失,Objet manquant,Pérdida de objeto,Objeto perdido,Voorwerp verloren,Rimozione oggetto,물품 분실,物品遺失
ugreen_event_human_face,人脸检测,Face detection,Gesichtserkennung,顔検知,Détection de visages,Detección de rostros,Detecção de rostos,Gezichts detectie,Rilevamento dei volti,얼굴 감지,人臉偵測
ugreen_event_human_motion_detect,画面变化,Scene change,Szeneänderung,シーン変化,Changement de scène,Cambio de escena,Mudança de cena,Scènewisseling,Cambio di scena,장면 전환,畫面變化
ugreen_event_motion_detection,画面变化,Scene change,Szeneänderung,シーン変化,Changement de scène,Cambio de escena,Mudança de cena,Scènewisseling,Cambio di scena,장면 전환,畫面變化
ugreen_event_human,人形检测,Person detection,Personenerkennung,人物検知,Détection de personne,Detección de persona,Detecção de pessoa,Persoonsdetectie,Rilevamento persona,사람 감지,人形偵測
ugreen_event_human_detection,人形检测,People detection,Gestalterkennung,人物検知,Détection de personnes,Detección de personas,Detecção de pessoas,Personendetectie,Rilevamento delle persone,사람 감지,人形偵測
ugreen_event_vehicle,车辆检测,Vehicle detection,Fahrzeugerkennung,車両検知,Détection de véhicule,Detección de vehículos,Detecção de veículo,Voertuigdetectie,Rilevamento veicoli,차량 감지,車輛偵測
ugreen_event_vehicle_detection,车辆检测,Vehicle detection,Fahrzeugerkennung,車両検知,Détection de véhicules,Detección de vehículos,Detecção de veículos,Voertuigdetectie,Rilevamento dei veicoli,차량 감지,車輛偵測
ugreen_event_package,包裹检测,Package detection,Paketerkennung,荷物検知,Détection de colis,Detección de paquete,Detecção de encomenda,Pakketdetectie,Rilevamento pacco,택배 감지,包裹偵測
ugreen_event_package_detection,包裹检测,Package detection,Paketerkennung,パッケージ検知,Détection de colis,Detección de paquetes,Detecção de pacotes,Pakketdetectie,Rilevamento dei pacchi,소포 감지,包裹偵測
ugreen_event_pet_detection,宠物检测,Pet detection,Haustiererkennung,ペット検知,Détection d’animaux de compagnie,Detección de mascotas,Detecção de animais de estimação,Detectie van huisdieren,Rilevamento di animali domestici,반려동물 감지,寵物偵測
ugreen_event_device_failure,设备故障,Device error,Gerätefehler,デバイスエラー,Panne de l’appareil,Error del dispositivo,Erro do dispositivo,Apparaatfout,Errore del dispositivo,장치 오류,裝置故障
ugreen_event_tamper_detect,镜头遮挡,Camera obstruction,Kamera-Verdeckung,カメラの遮蔽,Obstruction de l’objectif,Obstrucción de cámara,Obstrução da câmara,Belemmering van de camera,Ostruzione della telecamera,카메라 가림,鏡頭遮擋
ugreen_event_device_moval,设备移动,Device movement,Gerätebewegung,デバイスの移動,Déplacement de l’appareil,Movimiento del dispositivo,Movimentação do dispositivo,Beweging van het apparaat,Movimento del dispositivo,장치 움직임,裝置移動
event_description_fire,检测到火焰,Fire detected,Feuer erkannt,火を検知しました,Flamme détectée,Llamas detectadas,Detetado incêndio,Brand gedetecteerd,Rilevato un incendio,화재 감지됨,偵測到火焰
event_description_field_intrusion,检测到进入区域,Area entry detected,Gebietseintritt erkannt,エリアへの進入を検出,Entrée dans la zone détectée,Entrada al área detectada,Entrada na área detetada,Toegang tot gebied gedetecteerd,Accesso all'area rilevato,영역 진입 감지,檢測到進入區域
event_description_human_face,检测到人脸,Face detected,Gesicht erkannt,顔を検知しました,Visage détecté,Rostro detectado,Detetou um rosto,Gezicht gedetecteerd,Rilevamento del volto,얼굴 감지됨,偵測到人臉
